"","matrix..0.5.","matrix..5.10.","matrix..10.15.","matrix..15.20.","matrix..20.25.","matrix..25.30.","matrix..30.35.","matrix..35.40.","matrix..40.45.","matrix..45.50.","matrix..50.55.","matrix..55.60.","matrix..60.65.","matrix..65.70.","matrix..70.75.","matrix.75.","demography.age.group","demography.population","demography.proportion","demography.year","participants.age.group","participants.participants","participants.proportion"
"1",1.91578947368421,0.807071841558286,0.470173671100288,0.299639073157752,0.485085074047734,0.790864672586631,0.886633585261116,1.07376541016171,0.436723777207525,0.273366151723032,0.3534558785734,0.26772765949581,0.220748714960554,0.148924512919626,0.0988150240615144,0.0157894736842105,"[0,5)",3451560,0.057325349810593,2005,"[0,5)",95,0.0939663699307616
"2",0.783206855464206,6.63725490196078,1.24179167870404,0.579500618578416,0.486784141584541,0.721785635652131,1.09080967458054,1.40431104006309,1.09068244705823,0.361311841485892,0.345068889502309,0.224787766730036,0.347111753258935,0.236948743885837,0.0742295726875301,0.228386520845209,"[5,10)",3556732,0.0590721024935189,2005,"[5,10)",102,0.100890207715134
"3",0.424436082886011,1.15515018583231,6.85294117647059,1.30321501850873,0.246270815765367,0.370278445057702,0.572198716162414,1.09696947401111,1.17696893783159,0.644493287625661,0.351293284667878,0.354141356555935,0.20459256885692,0.202887246781819,0.174092033693083,0.139627660658764,"[10,15)",3823503,0.0635027775779217,2005,"[10,15)",102,0.100890207715134
"4",0.261364377460567,0.520879864210112,1.25924441817936,6.71428571428571,1.24412989932324,0.716956618613726,0.46700601534782,0.873209458389808,0.973916430815307,0.971865138757868,0.522909560352349,0.312694547348945,0.196827197489819,0.264512628872109,0.238658359626752,0.277014509248697,"[15,20)",3957013,0.0657201828825412,2005,"[15,20)",105,0.103857566765579
"5",0.428930514491152,0.443548554339714,0.241228151367215,1.2612082669116,2.59322033898305,1.36090180921716,0.840995315202358,0.759177291513389,0.825737124941301,0.928698626229351,0.626988228364934,0.500232137935301,0.305501453207456,0.221505661834435,0.156409736173441,0.168696928737642,"[20,25)",3903430,0.0648302478332009,2005,"[20,25)",59,0.0583580613254204
"6",0.727533958254706,0.684218862638342,0.377333646102361,0.756129219245924,1.41582263951445,1.83050847457627,1.13000729396784,0.921245356364374,0.900628024050373,0.920075117133722,0.846788878552797,0.715105826735209,0.447128978527791,0.377094354407177,0.178302984954595,0.121237421447082,"[25,30)",3752013,0.0623154335195947,2005,"[25,30)",59,0.0583580613254204
"7",0.734412509051885,0.931066248141979,0.525035627357086,0.443476296114417,0.787808082535991,1.01748037468596,1.66666666666667,1.26538160232346,0.975535903563543,0.718191237877786,0.700634797551004,0.627674334443175,0.484079682613914,0.27095931973675,0.092672629545836,0.269258810935481,"[30,35)",4166962,0.0692071278776692,2005,"[30,35)",60,0.0593471810089021
"8",0.789798993658182,1.06440324875993,0.893815160519555,0.736338735430113,0.631511616411849,0.736599441554135,1.1236544987187,1.5,1.26986130070703,0.863382783357262,0.627912160695323,0.54904424263354,0.530887925920502,0.427452379705891,0.141112696485444,0.309501010432936,"[35,40)",4692543,0.0779362575114584,2005,"[35,40)",70,0.0692383778437191
"9",0.324028640738644,0.833893522427348,0.967358764173422,0.828419482679517,0.692866143896156,0.726391786742776,0.873823926096363,1.28093084393407,1.35483870967742,1.20661616458913,0.701936235915501,0.553671088218967,0.549402330680097,0.349717121429016,0.333278434830487,0.426930967005102,"[40,45)",4651991,0.0772627482618671,2005,"[40,45)",62,0.0613254203758655
"10",0.236684913668487,0.322361930472949,0.618144834218804,0.96468137010889,0.90935112645302,0.865960396254904,0.750706286490763,1.01630030411883,1.40805109723946,1.87272727272727,0.747332483795228,0.644094498369134,0.510280049597944,0.264616788583797,0.322351639450433,0.32765676395307,"[45,50)",3986480,0.0662095865385312,2005,"[45,50)",55,0.0544015825914936
