region,d_adjust1,d_adjust2,adjust_dates,initialization
UKC11,1.0656819230629822,1.12779040735402,27.0,5.0
UKC12,1.512556006323949,0.9909785588479779,24.0,4.5
UKC13,1.111597960552024,1.1526751048369368,27.0,3.5
UKC22,1.0698317663282755,0.9394554721780748,25.0,21.0
UKD12,1.2094129239083,1.0172749578427136,21.0,17.0551494429643
UKD33,0.6802374456062653,1.0362987909564831,26.0,18.0
UKD34,1.1914457707571606,1.062108239945287,22.0,19.0
UKD35,1.102729260228634,1.2645246347040815,23.0,26.0
UKD36,0.9827119347849509,0.9242493001854604,29.0,16.0
UKD37,1.266190627452481,1.20948496238722,23.0,22.0
UKD42,1.177,1.2139300872410907,28.0,3.0
UKD45,1.0891201816373737,1.0214723356624045,23.0,5.50693973417079
UKD46,1.4534353034082808,1.1257865857632958,22.0,6.65145382855184
UKD47,1.4037681083574527,1.0246532234464194,24.0,5.2543887327769605
UKD61,1.2349620480574672,1.0146810274397653,26.0,4.0
UKD62,0.9111090855687055,1.242418545236369,27.0,11.0
UKD63,1.1015848423261678,1.2345086240825818,25.0,8.0
UKD71,1.332100285974031,0.9522749846889864,25.0,10.0
UKD72,1.2149302742309012,0.8097086416834705,22.0,13.0
UKD73,1.5780347986440555,0.8512817946758973,23.0,7.0
UKD74,1.463296218552919,1.0330659289498365,24.0,8.0
UKE11,0.8483000000000002,1.3081947185087681,29.0,2.5
UKE12,0.9248133676874652,1.1836561783484432,28.0,11.0
UKE13,1.1826442357391438,1.1065922404930504,25.0,6.2672964783875
UKE21,0.8714236874807709,0.9161744804669033,30.0,5.0
UKE22,0.9984362284252649,0.9402340129681253,24.0,11.0
UKE31,1.3263981161824443,1.2206613942822682,22.0,14.0
UKE32,1.3834584024256762,0.9803364838640858,20.0,36.0
UKE41,1.0368831047690208,1.038829954332276,27.0,9.0
UKE42,0.8274787973371676,0.9782303167931418,27.0,14.0
UKE44,1.1490051753331423,0.9852004597116398,24.0,7.0
UKF11,1.1684178245760537,1.0914268906012148,20.0,11.0
UKF12,1.1870226758006464,1.1186615114019631,19.0,16.1402513280876
UKF13,0.9683659034991371,1.1662632555082943,20.0,28.8597486719124
UKF14,0.6911512444541612,0.8347540131672432,25.0,17.0
UKF15,0.8725207858760129,1.0207496526361721,22.0,20.739644331803397
UKF16,0.9961714718593689,1.0304896828868155,23.0,15.260355668196599
UKF21,1.291153359621411,1.2378462913814672,21.0,7.0
UKF22,0.9827824882135311,0.9941616198098272,21.0,18.0
UKF24,1.0431881391169222,1.2023351962396203,21.0,10.7659771365632
UKF25,1.2934265764156694,1.3299620537779255,19.0,9.234022863436769
UKF30,0.9728859377515429,0.9193536129363575,22.0,9.7327035216125
UKG11,0.8879163156148284,1.1218730008085511,26.0,6.0
UKG12,1.1105468367514288,0.9273890326706352,22.0,19.0
UKG13,1.003040871081472,0.97470063160005,22.0,24.0
UKG22,1.2853415568193696,1.094086546965925,21.0,8.0
UKG23,1.2853556014353738,1.347841891678726,23.0,5.0
UKG24,0.939143345555164,1.0175554508934228,22.0,27.0
UKG31,0.9293082558457758,0.972596875969135,18.0,55.0
UKG33,1.2202601373192652,0.924714166987368,21.0,9.0
UKG36,1.332105685051967,0.9268880711202052,20.0,15.0
UKG37,1.387978302235889,1.0244380811624911,19.0,15.0
UKG38,1.2243357609755527,0.8322185286855448,22.0,22.0
UKG39,0.9152240198287652,1.1027606662190812,21.0,40.0
UKH11,0.8378922585008324,1.2218861584452894,27.0,5.5
UKH12,0.8024909605224821,1.093606656048995,24.0,17.0
UKH14,0.8362442249509839,1.029845230693711,26.0,16.0
UKH15,0.9525589509931739,0.9655446913426665,27.0,6.502288649029301
