,<20,20-60,60-70,70+
<20,6.9841031099942885,4.0784739755588015,0.13191383974620308,0.05147162487109734
20-60,2.226997208392544,8.316704359215985,0.3130013205226846,0.1049548342966717
60-70,0.5668584123803372,3.678051620899246,0.9898587610967771,0.2276148836772792
70+,0.4698946315648632,2.255364712894441,0.7261140266556777,0.9384787845671445
